adventure_nr,out,home,duration
117,2019-03-17T06:36:48Z,2019-03-17T06:47:40Z,10.866666666666667
118,2019-03-17T17:36:06Z,2019-03-17T17:46:16Z,10.166666666666666
119,2019-03-17T19:55:17Z,2019-03-17T20:16:40Z,21.383333333333333
120,2019-03-18T05:58:55Z,2019-03-18T06:10:50Z,11.916666666666666
121,2019-03-18T09:58:14Z,2019-03-18T19:25:55Z,567.6833333333333
122,2019-03-19T01:47:54Z,2019-03-19T02:17:39Z,29.75
123,2019-03-20T05:59:33Z,2019-03-20T06:13:09Z,13.6
124,2019-03-21T01:22:29Z,2019-03-21T01:53:48Z,31.316666666666666
125,2019-03-22T05:38:48Z,2019-03-22T05:44:15Z,5.45
126,2019-03-22T18:53:30Z,2019-03-22T19:57:33Z,64.05
127,2019-03-23T09:14:51Z,2019-03-23T11:38:11Z,143.33333333333334
128,2019-03-24T05:23:31Z,2019-03-24T06:06:29Z,42.96666666666667
129,2019-03-24T18:50:38Z,2019-03-25T01:36:24Z,405.76666666666665
130,2019-03-25T04:20:32Z,2019-03-25T04:54:54Z,34.36666666666667
131,2019-03-26T04:16:41Z,2019-03-26T04:46:11Z,29.5
132,2019-03-26T23:47:47Z,2019-03-27T00:32:43Z,44.93333333333333
133,2019-03-27T15:21:28Z,2019-03-28T03:17:23Z,715.9166666666666
134,2019-03-28T06:00:56Z,2019-03-28T06:10:22Z,9.433333333333334
135,2019-03-29T00:45:52Z,2019-03-29T01:25:45Z,39.88333333333333
136,2019-03-29T04:32:45Z,2019-03-29T06:19:07Z,106.36666666666666
137,2019-03-29T08:41:17Z,2019-03-29T20:26:25Z,705.1333333333333
138,2019-03-30T05:01:57Z,2019-03-30T05:58:17Z,56.333333333333336
139,2019-04-01T02:34:59Z,2019-04-01T04:39:22Z,124.38333333333334
140,2019-04-01T05:23:25Z,2019-04-01T05:33:24Z,9.983333333333333
141,2019-04-02T00:57:33Z,2019-04-02T04:24:28Z,206.91666666666666
142,2019-04-02T04:36:02Z,2019-04-02T04:47:44Z,11.7
143,2019-04-02T06:10:13Z,2019-04-02T06:22:08Z,11.916666666666666
144,2019-04-03T03:22:16Z,2019-04-03T04:34:41Z,72.41666666666667
145,2019-04-03T18:31:19Z,2019-04-03T22:20:45Z,229.43333333333334
146,2019-04-04T04:45:28Z,2019-04-04T04:53:43Z,8.25
147,2019-04-04T20:19:39Z,2019-04-04T20:45:21Z,25.7
148,2019-04-04T20:58:01Z,2019-04-05T01:09:31Z,251.5
149,2019-04-05T22:06:28Z,2019-04-05T22:43:46Z,37.3
150,2019-04-06T04:26:03Z,2019-04-06T04:27:57Z,1.9
151,2019-04-06T18:17:48Z,2019-04-06T21:27:22Z,189.56666666666666
152,2019-04-07T03:58:42Z,2019-04-07T05:08:24Z,69.7
153,2019-04-07T22:38:43Z,2019-04-07T23:00:54Z,22.183333333333334
154,2019-04-08T04:06:23Z,2019-04-08T23:21:47Z,1155.4
155,2019-04-09T02:58:37Z,2019-04-09T05:19:55Z,141.3
156,2019-04-09T14:40:36Z,2019-04-09T21:10:39Z,390.05
157,2019-04-09T22:50:08Z,2019-04-10T00:08:11Z,78.05
158,2019-04-10T05:11:58Z,2019-04-10T05:19:52Z,7.9
159,2019-04-11T03:54:27Z,2019-04-11T04:00:59Z,6.533333333333333
160,2019-04-11T23:00:09Z,2019-04-11T23:49:27Z,49.3
161,2019-04-12T04:52:59Z,2019-04-12T04:55:30Z,2.5166666666666666
162,2019-04-12T18:30:03Z,2019-04-12T18:53:04Z,23.016666666666666
163,2019-04-12T22:38:11Z,2019-04-12T22:58:22Z,20.183333333333334
164,2019-04-13T04:58:25Z,2019-04-13T05:22:37Z,24.2
165,2019-04-13T22:34:32Z,2019-04-13T23:18:45Z,44.21666666666667
166,2019-04-14T04:30:23Z,2019-04-14T04:56:32Z,26.15
167,2019-04-15T04:39:51Z,2019-04-15T05:04:58Z,25.116666666666667
168,2019-04-16T02:33:35Z,2019-04-16T03:17:53Z,44.3
169,2019-04-16T05:24:35Z,2019-04-16T05:29:18Z,4.716666666666667
170,2019-04-16T18:40:11Z,2019-04-16T19:47:09Z,66.96666666666667
171,2019-04-16T22:34:05Z,2019-04-17T01:20:39Z,166.56666666666666
172,2019-04-17T05:11:08Z,2019-04-17T05:17:05Z,5.95
173,2019-04-17T07:06:02Z,2019-04-17T21:37:36Z,871.5666666666667
174,2019-04-18T03:07:18Z,2019-04-18T03:57:15Z,49.95
175,2019-04-19T02:09:45Z,2019-04-19T02:25:39Z,15.9
176,2019-04-19T04:24:38Z,2019-04-19T05:39:53Z,75.25
177,2019-04-20T04:33:01Z,2019-04-20T05:19:12Z,46.18333333333333
178,2019-04-21T03:50:55Z,2019-04-21T05:01:43Z,70.8
179,2019-04-22T04:36:39Z,2019-04-22T05:20:31Z,43.86666666666667
180,2019-04-22T22:21:36Z,2019-04-23T02:22:21Z,240.75
181,2019-04-23T04:28:39Z,2019-04-23T04:59:37Z,30.966666666666665
182,2019-04-23T18:33:48Z,2019-04-23T20:55:26Z,141.63333333333333
183,2019-04-24T04:25:50Z,2019-04-24T05:13:17Z,47.45
184,2019-04-24T19:11:56Z,2019-04-24T20:44:28Z,92.53333333333333
185,2019-04-24T23:42:21Z,2019-04-25T01:49:32Z,127.18333333333334
186,2019-04-25T04:27:49Z,2019-04-25T05:01:33Z,33.733333333333334
187,2019-04-25T19:10:29Z,2019-04-26T00:30:11Z,319.7
188,2019-04-26T03:31:15Z,2019-04-26T05:06:24Z,95.15
189,2019-04-26T18:24:58Z,2019-04-26T18:59:24Z,34.43333333333333
190,2019-04-27T04:02:38Z,2019-04-27T04:41:04Z,38.43333333333333
191,2019-04-28T03:12:21Z,2019-04-28T04:18:54Z,66.55
192,2019-04-29T02:57:38Z,2019-04-29T03:57:04Z,59.43333333333333
193,2019-04-29T11:11:57Z,2019-04-29T11:27:08Z,15.183333333333334
194,2019-04-29T22:21:59Z,2019-04-29T23:25:00Z,63.016666666666666
195,2019-04-30T03:30:12Z,2019-04-30T05:06:34Z,96.36666666666666
196,2019-05-01T03:02:59Z,2019-05-01T03:35:46Z,32.78333333333333
197,2019-05-01T20:42:11Z,2019-05-01T22:03:21Z,81.16666666666667
198,2019-05-02T03:33:12Z,2019-05-02T05:03:30Z,90.3
199,2019-05-02T23:01:23Z,2019-05-03T00:23:38Z,82.25
200,2019-05-03T00:29:07Z,2019-05-03T01:39:02Z,69.91666666666667
201,2019-05-03T03:56:07Z,2019-05-03T04:48:29Z,52.36666666666667
202,2019-05-03T18:43:23Z,2019-05-03T21:12:50Z,149.45
203,2019-05-04T02:14:16Z,2019-05-04T03:44:22Z,90.1
204,2019-05-05T03:27:02Z,2019-05-05T03:36:20Z,9.3
205,2019-05-05T23:50:11Z,2019-05-06T00:38:21Z,48.166666666666664
206,2019-05-07T03:03:44Z,2019-05-07T03:20:29Z,16.75
207,2019-05-07T18:49:02Z,2019-05-07T21:09:12Z,140.16666666666666
208,2019-05-08T03:53:28Z,2019-05-08T04:58:41Z,65.21666666666667
209,2019-05-09T03:39:05Z,2019-05-09T04:17:09Z,38.06666666666667
210,2019-05-10T03:37:05Z,2019-05-10T04:38:17Z,61.2
211,2019-05-10T18:03:37Z,2019-05-10T21:38:06Z,214.48333333333332
212,2019-05-10T21:46:09Z,2019-05-10T22:27:44Z,41.583333333333336
213,2019-05-11T19:18:57Z,2019-05-11T20:53:23Z,94.43333333333334
214,2019-05-12T02:55:13Z,2019-05-12T03:57:57Z,62.733333333333334
215,2019-05-12T05:01:54Z,2019-05-12T05:12:57Z,11.05
216,2019-05-12T08:40:26Z,2019-05-12T09:18:35Z,38.15
217,2019-05-12T17:29:55Z,2019-05-12T19:35:43Z,125.8
218,2019-05-12T20:56:59Z,2019-05-12T21:27:51Z,30.866666666666667
219,2019-05-12T23:23:31Z,2019-05-13T00:09:53Z,46.36666666666667
220,2019-05-13T04:08:03Z,2019-05-13T04:38:22Z,30.316666666666666
221,2019-05-13T04:54:03Z,2019-05-13T05:11:50Z,17.783333333333335
222,2019-05-13T05:43:49Z,2019-05-13T06:44:43Z,60.9
223,2019-05-13T14:30:00Z,2019-05-13T15:21:22Z,51.36666666666667
224,2019-05-13T17:54:12Z,2019-05-13T19:51:59Z,117.78333333333333
225,2019-05-13T20:30:09Z,2019-05-13T21:08:54Z,38.75
226,2019-05-13T23:02:20Z,2019-05-14T00:24:09Z,81.81666666666666
227,2019-05-14T03:49:25Z,2019-05-14T04:11:51Z,22.433333333333334
228,2019-05-14T05:57:40Z,2019-05-14T06:16:22Z,18.7
229,2019-05-14T19:58:48Z,2019-05-14T20:57:31Z,58.71666666666667
230,2019-05-15T01:07:12Z,2019-05-15T02:56:45Z,109.55
231,2019-05-15T04:16:09Z,2019-05-15T04:45:53Z,29.733333333333334
232,2019-05-15T05:40:32Z,2019-05-15T06:25:36Z,45.06666666666667
233,2019-05-15T17:58:59Z,2019-05-15T19:05:01Z,66.03333333333333
234,2019-05-15T19:59:35Z,2019-05-15T20:58:37Z,59.03333333333333
235,2019-05-16T00:02:12Z,2019-05-16T00:45:04Z,42.86666666666667
236,2019-05-16T04:17:21Z,2019-05-16T04:54:32Z,37.18333333333333
237,2019-05-16T05:40:42Z,2019-05-16T06:37:06Z,56.4
238,2019-05-16T18:28:14Z,2019-05-16T21:08:15Z,160.01666666666668
239,2019-05-16T23:02:55Z,2019-05-16T23:54:58Z,52.05
240,2019-05-17T00:05:53Z,2019-05-17T01:31:32Z,85.65
241,2019-05-17T03:59:41Z,2019-05-17T04:59:47Z,60.1
242,2019-05-17T05:31:10Z,2019-05-17T05:35:51Z,4.683333333333334
243,2019-05-17T18:14:48Z,2019-05-17T23:19:06Z,304.3
244,2019-05-18T00:00:16Z,2019-05-18T00:47:33Z,47.28333333333333
245,2019-05-18T03:56:58Z,2019-05-18T05:09:58Z,73
246,2019-05-18T06:42:19Z,2019-05-18T07:13:15Z,30.933333333333334
247,2019-05-18T15:49:39Z,2019-05-18T16:12:33Z,22.9
248,2019-05-18T22:14:13Z,2019-05-18T23:17:29Z,63.266666666666666
249,2019-05-19T01:56:28Z,2019-05-19T04:03:27Z,126.98333333333333
250,2019-05-19T23:31:49Z,2019-05-19T23:42:23Z,10.566666666666666
251,2019-05-20T02:21:08Z,2019-05-20T03:48:35Z,87.45
252,2019-05-21T02:58:53Z,2019-05-21T04:20:10Z,81.28333333333333
253,2019-05-21T20:03:01Z,2019-05-22T04:04:56Z,481.9166666666667
254,2019-05-22T22:21:30Z,2019-05-22T23:47:12Z,85.7
255,2019-05-22T23:53:19Z,2019-05-23T00:29:54Z,36.583333333333336
256,2019-05-23T00:36:16Z,2019-05-23T02:19:59Z,103.71666666666667
257,2019-05-23T04:24:22Z,2019-05-23T04:28:22Z,4
258,2019-05-23T07:00:13Z,2019-05-23T07:33:57Z,33.733333333333334
259,2019-05-24T01:42:41Z,2019-05-24T02:12:16Z,29.583333333333332
260,2019-05-24T03:50:03Z,2019-05-24T04:07:50Z,17.783333333333335
261,2019-05-25T00:14:20Z,2019-05-25T02:00:54Z,106.56666666666666
262,2019-05-25T03:59:28Z,2019-05-25T05:17:36Z,78.13333333333334
263,2019-05-25T22:11:39Z,2019-05-26T00:04:58Z,113.31666666666666
264,2019-05-26T03:30:50Z,2019-05-26T04:19:06Z,48.266666666666666
265,2019-05-26T21:52:15Z,2019-05-26T22:56:37Z,64.36666666666666
266,2019-05-27T02:59:56Z,2019-05-27T14:15:57Z,676.0166666666667
267,2019-05-28T02:52:45Z,2019-05-28T04:35:35Z,102.83333333333333
268,2019-05-29T02:06:41Z,2019-05-29T03:28:31Z,81.83333333333333
269,2019-05-29T07:01:59Z,2019-05-29T07:18:46Z,16.783333333333335
270,2019-05-29T22:34:35Z,2019-05-29T23:53:56Z,79.35
271,2019-05-30T03:15:20Z,2019-05-30T04:08:48Z,53.46666666666667
272,2019-05-30T07:13:31Z,2019-05-30T07:25:16Z,11.75
273,2019-06-01T00:44:30Z,2019-06-01T01:22:42Z,38.2
274,2019-06-01T01:26:21Z,2019-06-01T02:51:47Z,85.43333333333334
275,2019-06-01T02:57:32Z,2019-06-01T04:08:10Z,70.63333333333334
276,2019-06-01T07:30:36Z,2019-06-01T07:44:08Z,13.533333333333333
277,2019-06-02T22:29:42Z,2019-06-03T02:08:13Z,218.51666666666668
278,2019-06-03T02:13:28Z,2019-06-03T04:12:31Z,119.05
279,2019-06-03T22:23:47Z,2019-06-03T23:52:24Z,88.61666666666666
280,2019-06-04T01:53:04Z,2019-06-04T02:53:04Z,60
281,2019-06-04T03:53:24Z,2019-06-04T04:09:12Z,15.8
282,2019-06-05T02:47:07Z,2019-06-05T04:05:50Z,78.71666666666667
283,2019-06-05T06:00:31Z,2019-06-05T06:53:15Z,52.733333333333334
284,2019-06-05T22:08:40Z,2019-06-06T01:56:04Z,227.4
